contact_id,attempted_at,operator,channel,route_used,outcome,new_contact,next_action,notes
agora-legacy-018,,,whatsapp oficial,,pending,,contactar por WhatsApp con protocolo transparente,Pregrado en Literatura EAFIT
agora-legacy-019,,,whatsapp oficial,,pending,,contactar por WhatsApp con protocolo transparente,Escuela de Artes y Humanidades EAFIT
agora-legacy-022,,,whatsapp oficial,,pending,,contactar por WhatsApp con protocolo transparente,Comunicacion Social y Periodismo UPB
agora-legacy-033,,,telefono directo,,pending,,llamar o pedir correo institucional,Catedra UNESCO de Comunicacion Javeriana
